"","BrownBear1_S","BrownBear1_W","BrownBear2_S","BrownBear2_W","BrownBear3_S","BrownBear3_W","BrownBear4_S","BrownBear4_W","BrownBear5_S","BrownBear5_W"
"ACER3",1592.65656752893,1095.11440659557,1447.16982997206,1013.3615563371,1635.6841306694,1001.37057910004,1531.91404283628,1411.60286453304,1948.77042247635,1473.01046916451
"ACHE",61.1322722889892,83.098112153593,59.3710699475718,59.1892953348964,67.5587977181659,69.3833547316509,49.7374689232559,76.8601825310155,51.2834321704302,59.2909874380684
"ACIN1",2910.75415775994,3322.9352229038,4158.0952916853,3722.80257554658,4098.24988411466,3230.07644662888,3926.27579680182,3093.1536872238,4007.58654315174,3473.1548735206
"ACKR1",379.663585794775,265.122548299559,477.088954935845,153.075763797146,647.042006314829,123.764903034837,361.094024382838,375.865038962649,309.837402696349,64.8495175103873
"ACKR2",139.424480659098,174.110330226576,225.8221053363,188.79344201648,236.931558194695,276.595806024825,153.191404283628,191.21313702838,143.166248142451,332.585382660415
"ACKR3",578.075346732722,609.386155793016,419.838280343543,575.564871877268,719.358465844133,322.538838211999,633.65535408228,499.591186451601,804.508842173623,345.555286162493
"ACKR4",836.546883954589,2012.16143000486,648.840978712749,828.650134688549,539.5188493831,494.121999237568,1175.79376534577,1350.67711008772,1857.95601134121,354.819502949691
"ACLY",3900.66797043954,2176.3791278322,5071.98568980685,2019.57957703034,5085.940476107,2370.28541569748,5109.03280779684,2522.32623403613,6417.90785516196,2112.24142748119
"ACO1",1672.02127190411,1402.77527421184,1334.78887614273,1768.53532440302,1413.02555790812,1653.94915873827,1466.26058385758,1184.77159413663,2090.86826578191,1577.69611885985
"ACO2",2637.26767646709,793.389118418829,2871.01531103615,798.03498192912,2818.43885691842,668.517998968474,2517.71067689521,1136.03099058038,2711.61147601149,715.1975359717
"ACOT11",156.584416740218,279.961496898415,206.738547138866,198.998492936289,163.663566303163,353.480063970708,184.028635016047,343.058863492094,132.482199773611,422.448285496238
"ACOT12",91.1621604309488,71.2269532745083,94.3575933095337,73.47636662263,109.426221656184,113.451161115267,86.5431959264652,108.729038702412,122.866556241656,121.361239912296
"ACOT13",535.175506529923,357.124029612465,367.888594139418,247.982737351376,298.781161739494,292.535225355069,362.088773761303,328.061754705554,354.710405845475,356.67234630713
"ACOT7",559.842914646532,150.368012468406,540.700815593957,213.285564224023,736.486048364231,233.465612542988,469.521706635535,248.389614277062,317.316236554537,220.488359535317
"ACOT8",480.478210271354,471.878565443618,525.858048107064,371.463853481074,466.250857491568,172.520773927348,346.172783705861,551.143747905331,331.205499434028,227.899732965076
"ACOT9",1186.1805816074,1837.06183653836,1523.5040627618,2078.76887236524,1589.05904492024,1881.78909387059,1649.29446949516,1647.80732792104,1578.03394407761,1759.27476788894
"ACOX1",1259.11030995216,1822.2228879395,1509.72149295254,2134.89665242419,1145.64496412214,1495.49257833761,1443.38134815289,1755.59904732429,1208.36587051576,1058.89997877675
"ACOX2",17.1599360811198,0,34.986523361962,1.02050509198097,29.4975032290584,0,48.7427195447908,1.87463859831745,18.1628822270273,4.6321083935991
"ACOX3",380.736081799845,615.321735232558,491.931722422738,786.809425917329,462.444728042657,1015.43477262673,477.479701663256,832.339537652949,557.707324853428,1248.81642291432
