"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ACD",144.154176546265,0.165270495435765,0.162872028747583,0.297968170502418,0.395394196629402
"ACE2",313.998201910349,1.43907049242399,0.36180400898768,1.29429840316851e-05,6.1442621882529e-05
"ACER1",266.137191043559,-1.08114714768718,0.30614566909117,0.000123407766275493,0.000467313253542684
"ACER2",388.434550773119,1.41402957507605,0.159529625974821,1.67788262802448e-19,6.28760687571806e-18
"ACER3",1415.06548692133,-0.427918371016338,0.149725089335289,0.00341470532493101,0.00877669273118281
"ACHE",63.6904973237637,0.247590935646995,0.19905782717893,0.195921559815189,0.280911091042899
"ACIN1",3594.30844793371,-0.176584667919759,0.120569035114602,0.136894910277305,0.208292686758141
"ACKR1",315.740374572921,-1.00647002781855,0.37871689090605,0.00248315469412995,0.00665467360330907
"ACKR2",206.183389457285,0.339013598214078,0.234049540134905,0.125920197863678,0.194375677129081
"ACKR3",550.807262767268,-0.389896952389692,0.221000180600221,0.0629115724680556,0.108489423943447
"ACKR4",1009.90866657058,-0.00220793068784567,0.422805875049113,0.992007492523346,0.994205325159013
"ACLY",3678.63465813895,-1.17378354157189,0.140261771775249,1.87631755343018e-17,5.56588316269626e-16
"ACO1",1556.46920259441,-0.0685929124814826,0.157802316364273,0.655446609990896,0.733631344177774
"ACO2",1766.72146231969,-1.70158299640213,0.150227532625947,1.52162308821149e-30,1.47563997290839e-28
"ACOT11",244.144456776565,0.878580668428388,0.213408826329424,1.67665996828662e-05,7.76109321800651e-05
"ACOT12",99.2600487191901,-0.0409128745448555,0.20685301656343,0.835373382700012,0.879838895133978
"ACOT13",350.102053534721,-0.26135556428202,0.177946726763062,0.128934065163285,0.198282325532106
"ACOT7",368.986488484259,-1.25172575710749,0.223678393991708,5.53118128610091e-09,4.8984119267276e-08
"ACOT8",394.487207273232,-0.224970491918745,0.273324905801296,0.371805890639961,0.47180774820586
"ACOT9",1673.07740014464,0.283148037774228,0.11934390627181,0.0161543751965595,0.0339353394690877
"ACOX1",1483.33351304978,0.314337339740799,0.178265514753857,0.0686743458733098,0.116930561900822
"ACOX2",15.6076816527856,-4.05188607627267,0.715478106678492,1.89175413618801e-09,1.80776721731014e-08
