"","logFC","logCPM","F","PValue","FDR"
"SESN3",-1.61473686615894,7.04071164634141,150.216668206037,2.89807854024273e-08,2.71882098559064e-06
"ENC1",-3.1061595888623,5.6103632896051,149.996508553368,2.92422484832813e-08,2.72802406381181e-06
"FLOT2",1.34653326328993,6.33327286930061,149.511946760489,2.97715525743088e-08,2.76197309132435e-06
"DEFB103A",-3.66629181779205,4.61414145973874,149.41809782829,2.99831709519728e-08,2.76623741285632e-06
"BRF1",1.19770394141977,7.60133933370993,148.58575628606,3.08487212446778e-08,2.83045492343338e-06
"LDHB",-1.62161943111267,7.50872051645787,148.429362173441,3.10351227682537e-08,2.83199735031185e-06
"LOC130544677",3.66785552302254,1.40702377664971,145.672170343648,3.15381122081046e-08,2.85854459464891e-06
"TNNI1",-4.98308585571306,0.893827372240229,90.2345474138513,3.18224889356474e-08,2.85854459464891e-06
"PFKFB3",1.78560589915016,7.15542448546464,147.766694567041,3.18395888738666e-08,2.85854459464891e-06
"LOC125281362",3.15511766024562,4.44988592530633,147.123421208006,3.27324940389766e-08,2.9229942136731e-06
"RILP",1.82541532493958,4.3670085677627,146.939355528421,3.29099096026693e-08,2.92320521518604e-06
"KLK4",-4.17859589854301,0.104956779998786,87.3032319827686,3.3330603205824e-08,2.94490869277278e-06
"RASSF2",-2.31719041615571,4.18520530090898,146.221298609801,3.38608405691151e-08,2.97601145612449e-06
"LOC130544228",3.9618004776035,-0.493150316110146,77.0520775210734,3.45877828188333e-08,3.02398631042773e-06
"TECR",-1.1690104291443,7.01385419397786,145.281909374378,3.50793802491606e-08,3.03476512336091e-06
"COL1A2",-4.41997466258748,12.6915310989184,145.209327507056,3.51795098532058e-08,3.03476512336091e-06
"RCC2",-1.10280131956503,7.58844795349207,145.153951362731,3.52562688743049e-08,3.03476512336091e-06
"LOC125281506",-11.0233674951989,5.48542440032348,88.1110811303884,3.62201794145095e-08,3.088209811517e-06
"LOC113243332",-2.99985167071305,2.37001611880971,145.528103576634,3.62470281488311e-08,3.088209811517e-06
"NREP",-2.74742334428021,4.697164831509,144.300272687222,3.65045541572189e-08,3.09436319731674e-06
"LOC123001423",6.11230047269707,0.96651325570788,81.5057254807243,3.67960906828787e-08,3.1033228197646e-06
"LOC113255777",-13.9297395376771,9.02016282290688,76.0908322814946,3.72581286728775e-08,3.12649995330845e-06
"P4HA2",-1.60174761545134,6.33034647391281,143.623908683955,3.74550862011678e-08,3.1273124223665e-06
"MYCN",-3.19945832566534,4.38630044550538,143.23561120857,3.81397538542888e-08,3.16863557021278e-06
"SAMD1",-1.70991817508834,5.28105910950063,142.500921454213,3.91802649106666e-08,3.22302505813818e-06
"SPARC",-2.84570610681224,11.5165309701588,142.431524532827,3.92787966779004e-08,3.22302505813818e-06
"SARDH",-2.39241923876598,5.54380368826264,142.288789059369,3.95154427028199e-08,3.22302505813818e-06
"ITGA11",-2.03642260536488,4.74246581240963,142.263699384187,3.95664493034509e-08,3.22302505813818e-06
"KRT28",-6.43425061367594,6.85536673454527,141.815546245297,4.04990294971376e-08,3.24176384164809e-06
"PCGF5",1.65244475193687,5.82948944113825,141.649178591888,4.05413718098319e-08,3.24176384164809e-06
"BARX2",-1.91712404247745,7.39645286365243,141.52336296532,4.07377866419721e-08,3.24176384164809e-06
"CAPN7",1.11379280566416,6.65920907562063,141.45939563531,4.08429790360356e-08,3.24176384164809e-06
"IGSF9",-2.33278769990616,6.01544158229141,141.439017258898,4.08863594212858e-08,3.24176384164809e-06
"LOC130544650",6.44740275599629,1.50802421728473,76.0251097787881,4.09612653804268e-08,3.24176384164809e-06
"RANGAP1",-1.19353189745268,6.50746001009867,140.559919953633,4.23549014724326e-08,3.33624764003845e-06
"CHRDL2",-4.44618838881891,3.64139999733374,140.98032062681,4.35558617360487e-08,3.41473866258346e-06
"NDUFB2",-1.2416121785364,5.53706986973849,139.722376791343,4.38295557316054e-08,3.42013902412186e-06
"LOC125282308",-4.20328706597347,0.124898215003596,83.7705699888135,4.51815470671439e-08,3.50924025336854e-06
"LOC125281767",3.5722116739643,2.74342049483118,139.740967335776,4.65651585012111e-08,3.59996102690613e-06
"GCLM",-1.76965545357087,5.85580429370423,137.718873785665,4.75863569559765e-08,3.6619565659348e-06
"SLC7A8",-4.07723419430659,5.50656444411466,136.38058182444,5.03800934485324e-08,3.8583753007596e-06
"TLR2",1.78578260901166,4.44458614652322,136.252448387169,5.06008857336579e-08,3.8583753007596e-06
"LOC113240778",-4.67678803238493,3.08198922604691,138.707938914718,5.12133736229845e-08,3.86918644634114e-06
"CCDC150",2.46861019963375,2.81383234313101,136.103539445674,5.14350728046334e-08,3.86918644634114e-06
"CUX1",-2.0513675539961,5.88670600630339,135.846557200996,5.14377741833483e-08,3.86918644634114e-06
"HTRA3",-1.81306377463101,5.41085289572725,135.669448954436,5.1821414458047e-08,3.88056412571716e-06
"LOC113267266",-4.89930387779405,6.63395358561997,135.348220768506,5.25700725493926e-08,3.91905197099244e-06
"DLX1",-3.50220808237318,1.12166840049158,132.702473426246,5.30349686324771e-08,3.9361375164166e-06
"LZTS1",-2.22321233416362,4.75214331942675,134.845831665111,5.36662999347629e-08,3.95348102333778e-06
"LOC113251385",2.96689977383322,3.16330280522086,135.079955873078,5.37421517634395e-08,3.95348102333778e-06
