"","logFC","logCPM","F","PValue","FDR"
"MPP2",-2.61152983050303,3.17708159829387,118.98369308107,1.09449004111108e-07,6.1951874363711e-06
"EDN1",-3.44038528779461,4.16800384143153,118.871279786706,1.09813490697997e-07,6.1951874363711e-06
"LHFPL1",-3.56435328748526,3.70522353043883,118.698889954591,1.11290580096828e-07,6.23638052696958e-06
"VDR",-1.64775924679451,6.95316745524056,117.895954022441,1.14533656817719e-07,6.39664727491332e-06
"PCP4",-3.03885620060892,1.71885759140867,119.70062096691,1.16050261897923e-07,6.45974441144473e-06
"CCT6A",-1.45282215842458,6.89770728347132,117.499305063326,1.16721782677391e-07,6.47553836853739e-06
"PPID",-1.87716448328307,5.318787343536,117.285806593639,1.1794820174471e-07,6.52191066534741e-06
"FAM169A",-3.44244079743213,1.98895594443975,119.380923746248,1.1841822671388e-07,6.52629032308606e-06
"FLYWCH2",-1.90785969334613,3.49272599047616,116.906413681996,1.20337305662136e-07,6.58856612213772e-06
"KRT32",-4.99374166923711,7.61694637432074,116.73322244196,1.21143893916071e-07,6.61105191014533e-06
"THEM4",-2.09039897241464,6.57607516096739,116.138693634974,1.24606978119707e-07,6.77788901505206e-06
"COL4A1",-2.40330770379564,8.82011794809116,115.575914177771,1.28046381958577e-07,6.94235887118923e-06
"C1QTNF3",-4.7252690082518,4.63699054397419,115.580718601818,1.29498473872086e-07,6.95109577450178e-06
"LONRF2",-2.58892729816341,3.07844505713125,115.475278727692,1.29552665073917e-07,6.95109577450178e-06
"CALM3",-1.04043112229889,6.28377107961446,115.218671682896,1.30288818337569e-07,6.95109577450178e-06
"CDC42EP3",-1.69604835646179,5.65744142805089,114.397921950535,1.35641858758795e-07,7.13241045903587e-06
"MMP23B",-4.21438187079052,4.48888735382477,114.508195887974,1.35822895141829e-07,7.13241045903587e-06
"KLK13",-2.93213599288233,3.0311153445524,114.449992744479,1.36759011769594e-07,7.13668355481392e-06
"HAP1",-1.8328625721617,3.97935157499674,113.363567582514,1.42853796315676e-07,7.38549704233894e-06
"REEP6",-1.86433352709673,4.06263339501535,113.264040116152,1.43552164942104e-07,7.39869630360554e-06
"PRSS12",-2.3771595383803,3.21124300434114,113.102543621557,1.4519525493188e-07,7.41472648962527e-06
"SFRP1",-1.44745818281976,7.66596984833755,112.4244311628,1.494858299813e-07,7.59637820454835e-06
"ECM2",-2.6897712963315,5.11771671390082,112.413601345808,1.49662161165124e-07,7.59637820454835e-06
"TRPV3",-3.18638375061662,4.76936846174622,111.777836042958,1.54604864508195e-07,7.75299289015721e-06
"MAP6",-4.34078339584881,0.849687374044335,86.7523146949386,1.55839538265926e-07,7.77327606127574e-06
"STMN1",-1.4421893867245,6.48013929203009,111.577703856563,1.55940324601915e-07,7.77327606127574e-06
