"","logFC","logCPM","F","PValue","FDR"
"TPP2",1.37373571872742,6.42175491878489,97.4482383699797,3.30729670554473e-07,1.24951465352696e-05
"CELF5",3.04224964567187,3.15772777329279,97.4395728766746,3.34594031330779e-07,1.25569794456796e-05
"CALCOCO1",1.22095006496147,7.78883636764835,97.0581377334416,3.3812389472837e-07,1.26034172278327e-05
"MPP7",1.38203926285918,5.98952226512559,96.983191246904,3.39571580071406e-07,1.2629188898914e-05
"EGLN1",1.15934430355437,6.56275151657879,96.7545730729711,3.44014498955856e-07,1.27376898404963e-05
"CBX7",1.31637224179126,6.6035717451075,96.4152889716336,3.50738274047986e-07,1.2816145379272e-05
"CUNH5orf52",3.06930343553523,0.773942391785216,93.514057943113,3.58057507960565e-07,1.29881359475668e-05
"MYLK3",2.08901474112828,3.9491623829796,96.0556626489653,3.58556241201766e-07,1.29881359475668e-05
"LOC113267214",2.93193374271603,2.54498048631497,95.9209099870066,3.70683145871088e-07,1.33694122092901e-05
"SRSF5",1.55808172422213,8.68406242836291,95.3440115376221,3.72990746957351e-07,1.34186963608312e-05
"SETDB2",1.11590308945026,5.80641969643659,94.3554885847039,3.95000158608091e-07,1.40342715927585e-05
"DEF6",1.36352390300466,5.42492960524457,93.8953922515464,4.05827542859015e-07,1.43275140342551e-05
"LOC113250367",1.44054069350626,5.47632842576874,93.6539578055377,4.1160744858514e-07,1.45009130462516e-05
"LOC113260779",2.38641185879018,3.4413259866596,92.7179167468941,4.36362335780794e-07,1.52125566705709e-05
"NLRC5",2.40569362253218,5.19255469997396,91.935519611793,4.55740071026275e-07,1.57892187677754e-05
"LOC130542970",1.38351176964304,3.7713363429141,91.6620496601158,4.63509586436576e-07,1.59920383964966e-05
"DPY19L2",2.98071086934101,1.19850721208183,92.6532701461218,4.6808123059413e-07,1.60502843320151e-05
"LOC123000108",1.17375064281204,4.41810694152697,91.2568287122125,4.74630665448684e-07,1.6199608681681e-05
"LOC113248896",1.44045371139756,4.99181685134084,91.2278382083967,4.75346323374077e-07,1.6199608681681e-05
"TMEM210",5.2237938245718,0.791834257672412,55.4240916717871,4.76761889414324e-07,1.62147592491442e-05
"SLC16A5",1.22859978003192,4.92037970782505,90.6574179931959,4.91950097338446e-07,1.66373095238637e-05
"TYRO3",1.02907918995894,6.67671204417898,90.5154918857653,4.96080172621787e-07,1.67016991988129e-05
"ACER2",1.43135810351823,4.58292996264344,90.4805766182898,4.97335045153516e-07,1.67073516875596e-05
"TMEM43",1.19524022058274,7.67189917332087,90.4183268247257,4.99002513369185e-07,1.67073516875596e-05
"CUNH4orf54",3.18579434386346,1.48126053862601,91.8162586631372,4.99249565368718e-07,1.67073516875596e-05
"ANAPC4",1.13453698875796,5.85087710420351,89.6523677561537,5.22773061023429e-07,1.7234373307303e-05
"LRRC3",2.0656009846377,5.65577350373673,89.3333650415076,5.33157548660631e-07,1.75225017341374e-05
"FBLL1",6.12507145962279,2.41010825121949,66.5418541168676,5.37196045288576e-07,1.75894838436744e-05
"SLC12A6",1.57007268598263,6.24635188935466,88.8631690069154,5.4864445335755e-07,1.78941674348002e-05
"BBS7",1.26230207139186,4.76703610900402,88.5654782429494,5.58910151763683e-07,1.79831225901768e-05
"IL6R",1.60581493990717,5.8764602408836,88.3576128922051,5.66077572768664e-07,1.81787103608921e-05
"RBM11",2.48058084867661,1.47059709055271,89.4605196388415,5.70592687149493e-07,1.82325037419002e-05
"PPIL2",0.992732936089617,6.75605363043909,88.2020104932229,5.71466012696502e-07,1.82325037419002e-05
"CX3CL1",1.51583146225043,4.87996242737504,88.178993692832,5.72428925460712e-07,1.82325037419002e-05
"LOC113253922",2.49292903662004,3.61800014829046,88.1706432591486,5.74303668976556e-07,1.82325037419002e-05
"LOC113261514",1.57934661820245,3.57379975972672,88.075098626936,5.76769386556752e-07,1.82760379243097e-05
"SMIM43",1.04078186118141,4.63575796422515,87.7630540234226,5.87363592017818e-07,1.84153548213097e-05
"AVL9",0.860439035350874,5.31305179866385,87.7508226310409,5.87782748653098e-07,1.84153548213097e-05
"IFNGR1",1.02440004457757,5.86580242732585,87.6111114443085,5.9281055358869e-07,1.85380963190591e-05
"PKD1L1",2.94905525540831,4.08075706957499,87.0977090382377,6.13698006367362e-07,1.90485929522836e-05
"LGSN",4.52926021073866,0.362335256877811,55.3567611074742,6.21739829863202e-07,1.92267285534919e-05
"CA9",2.05142683499032,5.59061140553252,86.7215796774983,6.26826381831343e-07,1.9348195471722e-05
"LOC130544059",3.23679089079165,0.691873995456351,81.7362096195825,6.29060276242823e-07,1.93813238984851e-05
"ZNF652",1.38684167333328,6.58041142180643,86.2641438982383,6.45008251536543e-07,1.97404012419537e-05
"CPNE2",0.86682147179782,5.61064497693931,86.2536137297111,6.45443384520433e-07,1.97404012419537e-05
"LOC113244468",2.32089773796195,3.38065629774396,86.2265103578172,6.48701792906446e-07,1.97895754949724e-05
"WDR35",1.22879251421147,4.35284117315056,86.1637368464937,6.4942136482693e-07,1.97895754949724e-05
"CALR3",3.55091663304001,1.27671129946367,84.470487262611,6.66431774704456e-07,2.01973579052445e-05
"TUBE1",1.81366144632539,4.20957844761624,85.6950216202655,6.69209155349279e-07,2.02216066510621e-05
"RPS6KA4",1.29652881343808,6.37357274651908,85.1903115884104,6.90478798915416e-07,2.07753251587181e-05
"ALG6",1.01267691066909,4.70883254619943,85.0233991553448,6.98022576179777e-07,2.09645305748671e-05
"LOC113267572",3.24532069977631,2.1789087620321,86.0481083380501,7.00222361564389e-07,2.09928423981396e-05
"SLC38A6",1.22333916872899,5.42832314691537,84.6493418628931,7.14915567193077e-07,2.12805259475173e-05
"SLC35A3",1.15983908022207,5.45970450251234,84.2921043907443,7.31517406685341e-07,2.1582348364379e-05
"TTLL10",3.29601954520143,1.86851252497793,85.3728790804803,7.46430022944223e-07,2.18294832804651e-05
"SPAAR",1.92980271483192,2.37429327778032,83.6982282849518,7.66621520839064e-07,2.22640222199853e-05
"KDM3A",1.09503677610075,7.41916208675766,83.3972776952727,7.74976515144329e-07,2.23898491806144e-05
"LRRK2",1.98349663577387,5.79931327736877,83.2223703597717,7.83989112734333e-07,2.25721279199149e-05
"LOC113244123",2.30666119383855,2.82576594484349,83.150248865042,7.92880566166473e-07,2.27888340351358e-05
"LOC113260129",2.15577850534803,3.04471882576641,83.0694377924071,7.95128628517067e-07,2.28141803567122e-05
"LOC113261781",1.06694908305043,6.66211617447364,82.2462465153638,8.35565630392275e-07,2.34112591642963e-05
"HSF2BP",2.43887240011304,2.63326262963944,82.0731216429445,8.53985912458055e-07,2.3847342394878e-05
"STAP2",1.28450325404264,5.81248202666918,81.8284232037397,8.58918800932885e-07,2.39108183145395e-05
"ABCA5",2.27492778765456,5.86278951437654,81.756953449694,8.63137886794745e-07,2.39108183145395e-05
"TMEM87B",0.973317015808763,6.62032671939784,81.7433454814888,8.63754195377397e-07,2.39108183145395e-05
"LOC130543614",1.51811387202471,3.63204313648356,81.7155124438688,8.66364156919871e-07,2.39108183145395e-05
"LOC130542509",2.70863131591334,0.262462772215998,77.217264431693,8.67713988778428e-07,2.39108183145395e-05
"GABRA2",4.07357899434821,1.4784397549569,77.2461192545443,9.05026132845191e-07,2.47349122624907e-05
"LOC123000302",2.54673114645289,1.90101197475444,80.8690059513045,9.55046662106712e-07,2.58901367053896e-05
"NOL9",1.79086217551968,7.16330709256252,79.6272757067723,9.95148864503244e-07,2.67600497396774e-05
"PHF1",1.18665815546231,6.24465952506214,79.4120432222435,1.0097761159594e-06,2.69864614550333e-05
"TAS1R2",7.4115204580823,2.35545791819188,49.8430180623412,1.01003284085249e-06,2.69864614550333e-05
"PPP4R3B",1.27439739758271,7.72361242863567,78.8192271899114,1.0513549498978e-06,2.77793928929483e-05
"PTGS1",2.19382920524252,6.04235618174522,78.7477282280978,1.05668784936194e-06,2.78761933593918e-05
